"V1","time","cum_confirm","recovery","daily_confirm"
"1","2020-01-01","0","0","0"
"2","2020-01-02","83","0","83"
"3","2020-01-03","255","0","172"
"4","2020-01-04","575","0","320"
"5","2020-01-05","1120","1","545"
"6","2020-01-06","1989","2","869"
"7","2020-01-07","3232","5","1243"
"8","2020-01-08","4755","11","1523"
"9","2020-01-09","6289","21","1534"
"10","2020-01-10","7561","40","1272"
"11","2020-01-11","8466","72","905"
"12","2020-01-12","9045","120","579"
"13","2020-01-13","9389","190","344"
"14","2020-01-14","9591","288","202"
"15","2020-01-15","9709","419","118"
"16","2020-01-16","9782","583","73"
"17","2020-01-17","9827","783","45"
"18","2020-01-18","9857","1020","30"
"19","2020-01-19","9876","1293","19"
"20","2020-01-20","9889","1596","13"
"21","2020-01-21","9898","1924","9"
"22","2020-01-22","9904","2279","6"
"23","2020-01-23","9908","2652","4"
"24","2020-01-24","9911","3043","3"
"25","2020-01-25","9913","3440","2"
"26","2020-01-26","9915","3842","2"
"27","2020-01-27","9915","4243","0"
"28","2020-01-28","9916","4638","1"
"29","2020-01-29","9917","5026","1"
"30","2020-01-30","9918","5402","1"
"31","2020-01-31","9918","5766","0"
"32","2020-02-01","9917","6112","-1"
"33","2020-02-02","9918","6442","1"
"34","2020-02-03","9918","6755","0"
"35","2020-02-04","9918","7050","0"
"36","2020-02-05","9918","7325","0"
"37","2020-02-06","9918","7581","0"
"38","2020-02-07","9918","7818","0"
"39","2020-02-08","9918","8036","0"
"40","2020-02-09","9918","8240","0"
"41","2020-02-10","9918","8425","0"
"42","2020-02-11","9918","8594","0"
"43","2020-02-12","9918","8750","0"
"44","2020-02-13","9918","8889","0"
"45","2020-02-14","9918","9016","0"
"46","2020-02-15","9918","9130","0"
"47","2020-02-16","9918","9232","0"
"48","2020-02-17","9919","9323","1"
"49","2020-02-18","9918","9405","-1"
"50","2020-02-19","9918","9478","0"
"51","2020-02-20","9918","9543","0"
"52","2020-02-21","9918","9602","0"
"53","2020-02-22","9919","9653","1"
"54","2020-02-23","9918","9698","-1"
"55","2020-02-24","9918","9737","0"
"56","2020-02-25","9918","9773","0"
"57","2020-02-26","9918","9804","0"
"58","2020-02-27","9918","9831","0"
"59","2020-02-28","9918","9855","0"
"60","2020-02-29","9918","9877","0"
"61","2020-03-01","9918","9896","0"
"62","2020-03-02","9918","9912","0"
"63","2020-03-03","9918","9926","0"
"64","2020-03-04","9918","9939","0"
"65","2020-03-05","9918","9949","0"
"66","2020-03-06","9918","9959","0"
"67","2020-03-07","9919","9967","1"
"68","2020-03-08","9918","9974","-1"
"69","2020-03-09","9918","9980","0"
"70","2020-03-10","9918","9985","0"
"71","2020-03-11","9918","9990","0"
"72","2020-03-12","9918","9994","0"
"73","2020-03-13","9918","9997","0"
"74","2020-03-14","9918","10000","0"
"75","2020-03-15","9918","10003","0"
"76","2020-03-16","9918","10005","0"
"77","2020-03-17","9918","10007","0"
"78","2020-03-18","9918","10008","0"
"79","2020-03-19","9918","10009","0"
"80","2020-03-20","9918","10011","0"
"81","2020-03-21","9918","10012","0"
"82","2020-03-22","9918","10013","0"
"83","2020-03-23","9919","10014","1"
"84","2020-03-24","9918","10014","-1"
"85","2020-03-25","9918","10015","0"
"86","2020-03-26","9918","10015","0"
"87","2020-03-27","9918","10016","0"
"88","2020-03-28","9918","10016","0"
"89","2020-03-29","9918","10016","0"
"90","2020-03-30","9918","10017","0"
"91","2020-03-31","9918","10017","0"
"92","2020-04-01","9918","10017","0"
"93","2020-04-02","9918","10017","0"
"94","2020-04-03","9918","10017","0"
"95","2020-04-04","9918","10017","0"
"96","2020-04-05","9918","10017","0"
"97","2020-04-06","9918","10018","0"
"98","2020-04-07","9918","10018","0"
"99","2020-04-08","9918","10018","0"
"100","2020-04-09","9918","10018","0"
