"","time","cum_confirm","deaths","daily_confirm"
"1",2020-03-09,3,0,3
"2",2020-03-10,3,0,0
"3",2020-03-11,4,0,1
"4",2020-03-12,5,0,1
"5",2020-03-13,13,0,8
"6",2020-03-14,26,0,13
"7",2020-03-15,37,0,11
"8",2020-03-16,50,0,13
"9",2020-03-17,67,0,17
"10",2020-03-18,90,0,23
"11",2020-03-19,120,0,30
"12",2020-03-20,169,1,49
"13",2020-03-21,247,3,78
"14",2020-03-22,351,3,104
"15",2020-03-23,444,6,93
"16",2020-03-24,564,8,120
"17",2020-03-25,706,11,142
"18",2020-03-26,867,15,161
"19",2020-03-27,1144,22,277
"20",2020-03-28,1406,25,262
"21",2020-03-29,1665,30,259
"22",2020-03-30,1933,40,268
"23",2020-03-31,2199,55,266
"24",2020-04-01,2547,65,348
"25",2020-04-02,2902,81,355
"26",2020-04-03,3312,91,410
"27",2020-04-04,3739,102,427
"28",2020-04-05,4043,119,304
"29",2020-04-06,4450,142,407
"30",2020-04-07,4782,167,332
