Dates,Mean,High,Low
2020-03-09,1.0,1,1
2020-03-10,4.015913980207539,6,4
2020-03-11,9.091327187233597,12,8
2020-03-12,15.502810651535532,19,13
2020-03-13,23.59836718723952,29,19
2020-03-14,33.814224608171905,40,28
2020-03-15,46.695341820339834,55,39
2020-03-16,62.92094754470981,72,53
2020-03-17,83.33371943639152,95,70
2020-03-18,108.97449189334665,123,91
2020-03-19,141.1185733467848,157,118
2020-03-20,181.31624091807134,202,153
2020-03-21,231.43074772610507,260,196
2020-03-22,293.67035593339574,334,245
2020-03-23,370.6037454837446,429,310
2020-03-24,465.1464905764342,548,385
2020-03-25,580.5030169013683,699,478
2020-03-26,720.041545184924,884,584
2020-03-27,887.0844288756331,1113,707
2020-03-28,1084.5980044683085,1390,845
2020-03-29,1314.7886819117766,1715,1004
2020-03-30,1578.6353414207158,2087,1184
2020-03-31,1875.4282285179358,2501,1387
2020-04-01,2202.4194973039457,2949,1612
2020-04-02,2554.6996973703403,3417,1858
2020-04-03,2925.3916475084957,3895,2122
2020-04-04,3306.177623225296,4366,2402
2020-04-05,3688.0865168142295,4816,2692
2020-04-06,4062.3753029580757,5236,2989
2020-04-07,4421.328359746331,5617,3286
2020-04-08,4758.821058751023,5958,3579
2020-04-09,5070.58361406491,6257,3863
2020-04-10,5354.181472125368,6516,4135
2020-04-11,5608.793551390539,6738,4391
2020-04-12,5834.876748704367,6927,4631
2020-04-13,6033.80580855628,7088,4852
2020-04-14,6207.5422966486385,7223,5054
2020-04-15,6358.363177703685,7337,5236
2020-04-16,6488.656342722602,7433,5400
2020-04-17,6600.778568142598,7513,5545
2020-04-18,6696.9645549811785,7580,5673
2020-04-19,6779.274951490753,7637,5787
2020-04-20,6849.57212743123,7684,5886
2020-04-21,6909.514555689678,7723,5973
2020-04-22,6960.562748949165,7756,6049
2020-04-23,7003.99212704041,7784,6116
2020-04-24,7040.90948561399,7806,6173
2020-04-25,7072.270433159695,7825,6224
2020-04-26,7098.896899016809,7840,6268
2020-04-27,7121.493684851538,7853,6306
2020-04-28,7140.663753920688,7864,6339
2020-04-29,7156.921924873189,7873,6367
2020-04-30,7170.707143387409,7880,6392
2020-05-01,7182.393197532779,7886,6413
2020-05-02,7192.298090007668,7892,6431
2020-05-03,7200.692126519437,7896,6447
2020-05-04,7207.804941551249,7900,6461
2020-05-05,7213.831510725728,7903,6472
2020-05-06,7218.9373080385385,7905,6482
2020-05-07,7223.262731382585,7907,6491
2020-05-08,7226.926820671657,7909,6499
2020-05-09,7230.030550881793,7911,6505
2020-05-10,7232.659511642034,7912,6511
2020-05-11,7234.886251178313,7913,6515
